Country,City,Latitude,Longitude,Hemisphere,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
af,rudbar,30.15,62.6,N,56.08,27,0,1.59
am,balahovit,40.2536111,44.603888899999994,N,12.2,92,0,1.39
am,kosh,40.3072222,44.16,N,15.82,63,0,1.88
am,lukashin,40.1758333,44.0186111,N,15.89,63,0,1.25
am,sarukhan,40.2891667,45.1341667,N,12.2,92,44,4.76
am,tegh,39.5547222,46.4758333,N,38.48,73,91,4.61
an,barber,12.2833333,-69.0666667,N,77,78,20,11.5
ar,campana,-34.168742,-58.959140000000005,S,77.9,61,0,2.3
at,althofen,47.15,14.233332999999998,N,19.53,86,75,2.3
at,grieskirchen,48.233333,13.833332999999998,N,30.02,88,100,7
at,thalgau,47.833333,13.25,N,28.27,80,75,5.75
at,wolfurt,47.466667,9.75,N,30.85,75,75,13.8
au,lakes entrance,-37.878941,147.995132,S,64.99,87,91,7.72
au,newcastle,-32.927792,151.78448500000002,S,92.23,46,0,11.5
au,wonthaggi,-38.605862,145.593552,S,65.71,71,100,15.26
az,hadrut,39.520018,47.0318,N,43.09,54,100,3.18
ba,dubravica,44.4419444,18.1180556,N,32,100,75,5.75
ba,mala kladusa,45.1341667,15.858611100000001,N,27,94,16,1.57
bd,pirojpur,22.5666667,89.9833333,N,80.62,30,0,6.73
be,floreffe,50.433333000000005,4.783333,N,31.42,86,0,11.5
be,herne,50.716667,4.033333,N,37.44,100,99,1.01
be,huy,50.516667,5.233333,N,33.3,86,75,12.66
be,nijlen,51.166667,4.65,N,36.93,81,75,10.36
be,sint-amands,51.05,4.2,N,35.4,82,94,8.99
be,temse,51.133333,4.216667,N,36.12,81,75,10.36
bg,beloslav,43.1833333,27.7,N,39.09,100,40,5.08
bg,buhovo,42.7666667,23.5666667,N,38.61,81,90,6.91
bg,etropole,42.8333333,24.0,N,36.36,81,90,6.91
bi,ngozi,-2.9083333,29.8277778,S,62.13,91,98,1.14
bj,allada,6.65,2.15,N,74.68,91,28,4.74
bo,san ramon,-13.2833333,-64.7166667,S,39.36,70,1,6.91
br,agua branca,-9.283333,-37.916667,S,71.91,94,100,1.45
br,alvaraes,-3.2,-64.833333,S,72.5,97,100,1.72
br,araguacu,-12.894167,-49.773056,S,70.48,93,60,4.97
br,biritiba-mirim,-23.583333,-46.033333,S,70.3,100,20,3.44
br,cachoeirinha,-29.95,-51.083333,S,73.83,100,0,2.3
br,caete,-19.9,-43.666667,S,68.86,83,0,5.75
br,cafarnaum,-11.7,-41.466667,S,65.95,84,100,8.01
br,campos belos,-13.05,-46.883333,S,65.8,97,93,3.83
br,carauari,-4.879167,-66.89805600000001,S,72.68,96,100,0.78
br,itabaiana,-10.683333,-37.433333000000005,S,78.8,73,40,6.91
br,itanhandu,-22.3,-44.95,S,62.98,86,98,1.54
br,itapolis,-21.583333,-48.766667,S,69.75,91,100,4.92
br,lajedo,-8.383333,-36.55,S,67.68,93,100,8.41
br,maragogi,-9.016667,-35.216667,S,77.36,82,100,12.06
br,milagres,-7.283333,-38.95,S,78.8,61,75,2.3
br,missao velha,-7.25,-39.133333,S,78.8,61,75,2.3
br,mundo novo,-11.866667,-40.466667,S,67.35,95,100,3.4
br,nisia floresta,-6.066667,-35.133333,S,74.3,94,0,4.61
br,nova friburgo,-22.266667,-42.533333,S,63.03,94,98,1.63
br,nova prata,-28.783333000000002,-51.6,S,67.01,99,47,2.8
br,pederneiras,-22.383333,-48.766667,S,66,96,100,4
br,presidente bernardes,-22.05,-51.55,S,70,91,100,5.95
br,ribeirao pires,-23.716667,-46.416667,S,70.32,10,100,3.8
br,santa ines,-3.65,-45.366667,S,74.25,96,100,2.59
br,santa maria da vitoria,-13.4,-44.2,S,69.12,78,1,3.27
br,sao joao da boa vista,-21.966667,-46.783333,S,66.38,83,100,4
br,sao miguel dos campos,-9.783333,-36.083333,S,71.6,100,75,5.75
br,seropedica,-22.747222,-43.716944,S,76.12,88,0,3.71
br,sorocaba,-23.483333,-47.45,S,73,78,100,2.26
br,tamboril,-4.8333330000000005,-40.333333,S,68,95,3,4.72
br,tapejara,-28.066667,-52.0,S,63.5,99,68,3.71
br,timbiras,-4.25,-43.95,S,73.67,97,100,1.59
ca,blenheim,42.333333,-82.0,N,68.99,73,0,3
ca,burns lake,54.216667,-125.766667,N,17.6,86,100,1.14
ca,donnacona,46.666667,-71.733333,N,2.75,77,22,1.14
ca,eganville,45.533333,-77.1,N,17.82,93,75,2.3
ca,ferme-neuve,46.7,-75.45,N,12.2,92,48,3.44
ca,parrsboro,45.4,-64.31666700000001,N,29.64,80,96,8.05
ca,port hardy,50.716667,-127.5,N,33.67,100,20,3.44
ca,yarmouth,43.833333,-66.116667,N,31.33,69,1,6.91
cd,manono,-7.3,27.416666999999997,S,73.56,86,100,3.38
cf,gambo,4.65,22.2666667,N,79.29,65,98,1.5
ch,eschenbach,47.239806,8.921562,N,27.9,86,75,3.44
ch,lyss,47.077573,7.31162,N,24.73,100,90,6.91
ch,monthey,46.255457,6.960665,N,23.38,86,40,1.14
ch,neuchatel,46.993089000000005,6.93005,N,24.98,86,20,6.91
ch,richterswil,47.207415999999995,8.705841,N,28.22,86,75,3.71
ch,sion,46.229076,7.359417,N,24.8,86,40,1.14
ch,winterthur,47.500035,8.7251,N,28.62,86,75,6.31
cl,bulnes,-36.733333,-72.3,S,59,63,0,13.8
cl,calera,-32.783333,-71.2,S,68.94,88,90,6.91
cl,la ligua,-32.433333000000005,-71.233333,S,51.55,88,0,0.81
cn,anlu,31.2575,113.67833300000001,N,56.59,37,50,6.35
cn,heihe,50.266667,127.46666699999999,N,3.2,60,0,8.95
cn,huaihua,27.549444,109.959167,N,44.35,80,97,3.18
cn,jiupu,41.066666999999995,122.95,N,36.73,63,0,11.05
cn,longyan,25.107222,117.0225,N,73.08,45,91,3.96
cn,shaping,22.477547,112.84578400000001,N,78.01,64,0,1.99
cn,shuiji,36.859167,120.526944,N,59.18,69,93,1.3
cn,wenshang,35.7275,116.49611100000001,N,50.77,41,100,8.68
cn,xiaolingwei,32.033333,118.85,N,42.93,100,90,6.71
cn,xuanzhou,30.9525,118.755278,N,45.25,74,100,7.74
co,dabeiba,7.0017190000000005,-76.267225,N,72.32,75,98,3
co,jambalo,2.788333,-76.3225,N,51.42,87,99,4.14
co,landazuri,6.218262,-73.811208,N,65.35,84,100,4.07
co,pijino,9.329079,-74.45302,N,75.81,70,12,3.38
co,pueblo nuevo,8.241098,-74.958147,N,40.77,76,25,4.59
co,san jose del palmar,4.974167,-76.22833299999999,N,61.2,98,59,1.57
co,san miguel,6.575828,-72.645909,N,72.73,73,0,1.81
co,santa catalina,10.603607,-75.288235,N,84.06,62,37,3.2
co,santa isabel,4.714180000000001,-75.09798599999999,N,68,100,20,2.48
co,ulloa,4.7044440000000005,-75.740278,N,59.67,92,18,2.68
cr,desamparados,9.896798,-84.06294,N,66.88,68,0,13.8
cv,vila do maio,15.133333300000002,-23.216666699999998,N,68,60,0,11.5
cz,brodek u prerova,49.484522999999996,17.336782999999997,N,30,74,5,7
cz,caslav,49.912040999999995,15.394829999999999,N,29.03,80,0,12.66
cz,kolin,50.026903999999995,15.202310999999998,N,30.07,80,0,12.66
cz,luka nad jihlavou,49.375568,15.700632,N,25.36,84,47,1.99
cz,mikulcice,48.817654,17.05,N,30.06,80,20,4.61
cz,moravsky pisek,48.988068,17.329189000000003,N,29.8,80,20,4.61
de,altensteig,48.583333,8.6,N,31.66,84,95,7
de,billerbeck,51.966667,7.3,N,36.68,84,100,5.01
de,dillingen,48.566666999999995,10.483333,N,33.67,94,99,1.01
de,eppingen,49.136944,8.910278,N,31.66,95,94,8.01
de,fallingbostel,52.86666700000001,9.7,N,31.77,100,75,2.3
de,freiberg,50.916667,13.366667000000001,N,28.65,87,100,9.53
de,holzgerlingen,48.633333,9.016667,N,31.19,80,100,13.8
de,ketsch,49.367778,8.531111,N,35.33,75,75,10.36
de,lohne,52.666667000000004,8.233333,N,33.64,93,75,5.75
de,neckarsulm,49.192778000000004,9.226111,N,32.34,89,100,17.83
de,nideggen,50.7,6.483333,N,34.43,87,75,21.85
de,pritzwalk,53.15,12.183333,N,28,92,51,4.99
de,renningen,48.766667,8.933333,N,31.23,80,98,13.8
de,rosrath,50.9,7.2,N,36.48,87,75,17.27
de,tauberbischofsheim,49.624722,9.662778,N,31.68,93,100,1.01
de,welver,51.616667,7.966667,N,36.84,91,100,1.99
de,wiehl,50.95,7.533333,N,34.68,87,75,17.27
de,wuppertal,51.266667,7.183333,N,35.53,93,100,13.89
dk,assentoft,56.442094999999995,10.151695,N,30.33,100,90,4.61
dk,ejby,55.430102000000005,9.929729,N,31.01,100,75,2.3
dk,hinnerup,56.266078,10.062992999999999,N,29.95,100,90,4.61
dk,logstor,56.962451,9.258303999999999,N,29.86,93,20,4.65
dk,odense,55.393475,10.394935,N,28.4,93,40,6.91
dk,virklund,56.132181,9.555824000000001,N,28.87,100,75,2.3
ee,aegviidu,59.2858333,25.6141667,N,31.41,93,75,2.3
ee,ulenurme,58.3158333,26.7241667,N,32.27,100,90,5.75
eg,madinat sittah uktubar,29.816666700000003,31.05,N,55.2,67,100,10.36
es,cartagena,37.605121000000004,-0.986232,N,75.2,94,0,4.61
es,elda,38.477827000000005,-0.791573,N,54.07,85,72,2.15
es,felanitx,39.471911999999996,3.15082,N,45.21,87,20,8.46
es,godella,39.533333,-0.416667,N,46.72,100,40,1.14
es,malgrat de mar,41.646217,2.741505,N,44.69,54,100,5.99
es,puerto lumbreras,37.562903999999996,-1.8100080000000003,N,55.99,98,48,4.05
es,tomino,41.987722,-8.755018,N,57.88,100,90,8.05
es,torrelavega,43.349435,-4.047852,N,41.58,100,40,5.64
et,shambu,9.566667,37.1,N,69.35,39,0,1.25
fr,angers,47.473806,-0.54774,N,28.72,93,100,2.3
fr,avion,50.410379,2.830534,N,32.7,86,0,8.05
fr,conflans-sainte-honorine,49.001575,2.0969450000000003,N,29.75,86,0,5.75
fr,escaudain,50.333147,3.344296,N,31.62,86,0,8.05
fr,hautmont,50.247704,3.924607,N,30.74,35,100,3
fr,pont-sainte-maxence,49.301677000000005,2.604673,N,31.42,86,40,8.05
fr,saint-avertin,47.363569,0.739933,N,30.49,93,91,5.75
fr,saintes,45.745604,-0.631674,N,30.78,93,83,5.75
fr,saint-maur-des-fosses,48.793945,2.493233,N,31.46,86,40,6.91
fr,saint-quentin,49.849176,3.288062,N,31.39,93,0,4.61
fr,saran,47.950127,1.8760139999999998,N,25.83,86,0,5.75
fr,sorgues,44.008367,4.874924,N,37.26,65,0,23.02
fr,sotteville-les-rouen,49.409718,1.090055,N,30.51,100,0,4.61
fr,soyaux,45.65,0.2,N,31.62,93,0,5.75
fr,toulon,43.117705,5.941712,N,37.87,52,0,5.75
gb,bletchley,51.983333,-0.733333,N,31.14,92,100,1.99
gb,brighton,50.833333,-0.15,N,38.3,81,100,8.55
gb,ecclefechan,55.05,-3.266667,N,33.62,100,90,9.22
gb,glossop,53.416667000000004,-1.9,N,33.98,91,100,5.53
gb,havant,50.85,-0.983333,N,35.65,94,100,7.63
gb,leeds,53.8,-1.583333,N,33.12,51,83,3.76
gb,lewes,50.866667,-0.016666999999999998,N,36.37,81,100,7.58
gb,rottingdean,50.8,-0.05,N,36.99,81,100,9.31
gb,ruthin,53.11666700000001,-3.3,N,34.83,87,100,5.64
gb,saint albans,51.75,-0.333333,N,30.24,93,100,4.61
gb,shrewsbury,52.716667,-2.733333,N,31.73,93,90,1.14
gb,weston-super-mare,51.345833,-2.967778,N,37.47,75,100,5.75
gb,wickford,51.6,0.516667,N,32.77,93,0,6.91
ge,lagodekhi,41.8227778,46.275555600000004,N,35.6,75,75,4.61
ge,ninotsminda,41.26694439999999,43.5905556,N,8.6,72,53,4.61
ge,shorapani,42.095833299999995,43.11555560000001,N,51.8,32,0,10.36
gl,qaqortoq,60.716666700000005,-46.033333299999995,N,21.2,27,73,27.63
gr,afantou,36.3,28.15,N,61.79,77,40,5.75
gr,asprovalta,40.716666700000005,23.7,N,45.9,80,100,2.33
gr,ayios nikolaos,37.85,21.1166667,N,53.55,59,100,1.99
gr,ekali,38.1166667,23.8333333,N,54.57,64,100,1.99
gr,iasmos,41.1333333,25.1833333,N,44.69,70,40,5.75
gr,karia,38.7666667,20.65,N,67.77,21,34,10.63
gr,patitirion,39.15,23.8666667,N,51.01,68,100,7
gr,platanos,37.6666667,21.6166667,N,57.4,82,75,17.27
gr,savalia,37.8166667,21.283333300000002,N,57.9,82,75,17.27
gr,stalis,35.3,25.4333333,N,58.32,77,75,23.02
gt,cubulco,15.133332999999999,-90.583333,N,59,94,20,2.08
gt,san juan bautista,14.416667000000002,-91.18333299999999,N,69.39,78,0,4.61
gt,san lorenzo,14.483332999999998,-91.516667,N,77,83,0,9.22
gw,farim,12.4838889,-15.221666699999998,N,62.74,44,0,3.47
hn,cololaca,14.3,-88.8833333,N,67.57,66,40,2.35
hn,dolores,14.866666699999998,-88.83333329999999,N,71.78,77,26,6.67
hn,dulce nombre,14.85,-88.83333329999999,N,59.49,99,3,2.08
hn,guaimaca,14.5333333,-86.8166667,N,68,83,75,2.3
hn,la encarnacion,14.666666699999999,-89.08333329999999,N,61.74,86,0,1.72
hn,la libertad,14.45,-87.45,N,76.84,85,100,11.63
hn,marcovia,13.288055599999998,-87.30972220000001,N,75.65,69,0,2.93
hn,petoa,15.266666699999998,-88.2833333,N,72.55,94,0,2.15
hn,san antonio del norte,13.883333300000002,-87.7,N,68,83,75,2.3
hn,subirana,15.2,-87.45,N,62.31,89,1,3.89
hn,vallecillo,14.516666699999998,-87.4,N,68,83,75,2.3
hn,yoro,15.133333300000002,-87.1333333,N,65.21,84,17,3.11
hu,aszalo,48.216667,20.966667,N,27.86,100,90,1.14
hu,bata,46.128640999999995,18.770267,N,78.8,100,40,5.03
hu,bogyiszlo,46.386378,18.829621,N,33.8,80,0,10.36
hu,dombovar,46.376568,18.136962,N,33.8,80,0,10.36
hu,inarcs,47.262001,19.327,N,31.12,86,0,11.5
hu,kisber,47.502891,18.036652,N,30.2,86,0,11.5
hu,lenti,46.624027000000005,16.538631,N,29.86,80,40,9.22
hu,marcali,46.584983,17.411965,N,32,80,40,9.22
hu,mezokovesd,47.816666999999995,20.583333,N,30.09,98,100,1.21
hu,nagydobos,48.057590000000005,22.304235000000002,N,31.64,100,0,5.75
hu,palmonostora,46.624171000000004,19.951564,N,32.72,80,0,9.22
hu,pilis,47.289043,19.548477,N,31.17,86,0,11.5
hu,szikszo,48.2,20.933332999999998,N,27.84,100,90,1.14
hu,szirmabesenyo,48.15,20.8,N,26.6,100,90,1.14
hu,vonyarcvashegy,46.757425,17.311717,N,32,80,40,9.22
id,sungaipenuh,-2.083333,101.383333,S,73.63,80,100,4.29
ie,dundalk,54.0,-6.4166667,N,31.06,100,90,3.44
ie,granard,53.7666667,-7.5,N,40.03,97,100,13.33
ie,letterkenny,54.95,-7.7333333,N,41,87,75,5.75
ie,midleton,51.9094444,-8.173611099999999,N,45.41,100,75,14.97
ie,tullow,52.800277799999996,-6.7369444000000005,N,39.67,99,100,8.01
il,bene beraq,32.090278000000005,34.839721999999995,N,54.5,71,0,3.44
il,uzeir,32.792124,35.329840999999995,N,53.8,66,0,9.22
in,alangulam,8.866667,77.5,N,87.8,62,20,13.8
in,amalapuram,16.583333,82.016667,N,84.2,58,13,6.91
in,baghdogra,26.7,88.31666700000001,N,76.24,34,0,4.45
in,barhiya,25.283333,86.033333,N,71.85,31,0,6.91
in,batala,31.818610999999997,75.20277800000001,N,62.6,59,0,4.61
in,bhagwantnagar,26.233333000000002,80.75,N,59,77,40,3.44
in,bikramganj,25.2,84.25,N,71.76,34,0,6.58
in,biswan,27.5,81.0,N,68.41,36,0,4.34
in,chitapur,17.116667,77.083333,N,86.63,26,6,6.4
in,dewa,27.033333000000002,81.166667,N,59,77,40,3.44
in,dumjor,22.640832999999997,88.22027800000001,N,69.8,73,40,3.44
in,dumka,24.266667,87.25,N,76.77,23,0,8.77
in,gandevi,20.816667000000002,72.983333,N,84.2,37,0,6.91
in,ghogha,21.683332999999998,72.283333,N,71.6,46,0,9.22
in,hastinapur,29.166666999999997,78.016667,N,69.03,35,0,7.18
in,husainabad,24.533333,84.016667,N,73.38,33,0,6.55
in,jagraon,30.783333000000002,75.483333,N,69.01,46,0,6.02
in,kamarhati,22.671111,88.37472199999999,N,69.8,73,40,3.44
in,khonsa,27.016666999999998,95.56666700000001,N,63.73,62,26,3.71
in,konnagar,22.7,88.3475,N,69.8,73,40,3.44
in,kuchaman,27.15,74.85,N,66.83,26,0,6.06
in,madhupur,24.25,86.65,N,76.35,23,0,9.01
in,madras,13.083333,80.283333,N,86,48,40,9.22
in,mahuva,21.083333,71.8,N,79.61,19,0,9.6
in,malhargarh,24.283333,74.983333,N,69.49,23,0,8.61
in,medak,18.033333,78.266667,N,85.5,42,0,2.3
in,mohgaon,21.65,78.716667,N,84.04,21,0,5.75
in,nandurbar,21.366667,74.25,N,80.62,24,0,5.95
in,pallattur,10.15,78.8,N,84.2,51,40,12.66
in,paradip,20.316667000000002,86.616667,N,77.65,66,59,10.69
in,partapur,23.6,74.166667,N,75.6,19,0,8.57
in,pihani,27.633333,80.2,N,67.66,38,0,4.47
in,safipur,26.733333000000002,80.35,N,59,77,40,3.44
in,sardarshahr,28.433333,74.483333,N,66.96,26,0,4.27
in,tawang,27.583333000000003,91.866667,N,47.03,51,0,7.54
in,turaiyur,11.166667,78.616667,N,84.2,51,40,12.66
in,uchana,29.466666999999998,76.166667,N,67.69,28,0,7.07
in,umred,20.85,79.333333,N,78.8,41,69,8.05
in,uravakonda,14.95,77.266667,N,86.97,22,4,10.27
in,vizianagaram,18.116667,83.416667,N,84.2,54,40,6.91
iq,tall kayf,36.4894444,43.1191667,N,48.2,49,0,2.3
ir,babol,36.551321,52.678951,N,42.8,70,0,2.3
ir,mehran,33.1222,46.1646,N,44.6,61,0,4.61
it,angri,40.733333,14.566667,N,44.35,100,76,10.27
it,bollate,45.55,9.116667,N,36.41,33,0,5.75
it,cuorgne,45.383333,7.65,N,30.02,53,0,9.73
it,domodossola,46.116667,8.283333,N,34,52,0,9.98
it,fiorano modenese,44.533333,10.816667,N,33.67,45,0,1.01
it,grammichele,37.216667,14.633332999999999,N,49.46,100,75,17.27
it,matino,40.033333,18.133333,N,49.69,87,40,6.91
it,mirandola,44.883333,11.066667,N,30,80,0,5.01
it,montecchio maggiore,45.5,11.4,N,32.5,54,0,1.01
it,ospitaletto,45.133333,10.6,N,30.63,81,0,5.01
it,ribera,37.5,13.266667000000002,N,46.67,100,100,3
it,travagliato,45.516667,10.083333,N,29.03,46,0,3
jp,akishima,35.720848,139.379991,N,51.1,62,90,0.56
jp,edosaki,35.95,140.316667,N,53.62,71,75,6.91
jp,fukaya,36.2,139.283333,N,50.68,19,100,2.01
jp,gobo,33.883333,135.15,N,60.8,63,75,13.8
jp,gushikawa,26.354444,127.86861100000002,N,73.4,64,90,13.8
jp,katsuyama,36.05,136.5,N,59,41,75,12.66
jp,kishiwada,34.466667,135.366667,N,59.14,76,75,2.3
jp,kogota,38.55,141.05,N,42.46,70,75,3.44
jp,nanao,37.05,136.966667,N,53.1,57,75,5.75
jp,tanashi,35.723889,139.522222,N,51.46,58,75,2.3
ke,kapenguria,1.2333333,35.1166667,N,69.6,36,99,4.85
km,moroni,-11.704166699999998,43.2402778,S,82.44,69,86,6.29
li,triesen,47.1,9.5333333,N,26.42,87,100,8.01
lk,katunayaka,7.164722200000001,79.8730556,N,84.2,51,0,11.5
lk,kotikawatta,6.9333333,79.91666670000001,N,84.2,51,0,11.5
lk,kurunegala,7.4866667,80.3647222,N,84.2,51,0,11.5
lt,rudiskes,54.5166667,24.8333333,N,30.61,100,90,14.97
lu,elvange,49.5052778,6.316388900000001,N,31.66,86,75,13.8
